file,Essay Type,Country,Level,Temporal N,Temporal Mean,Contingency N,Contingency Mean,Comparison N,Comparison Mean,Expansion N,Expansion Mean,Explicit N,Explicit Mean,Implicit N,Implicit Mean,Conjunction N,Conjunction Mean,Condition N,Condition Mean,Cause N,Cause Mean,Concession N,Concession Mean,Asynchronous N,Asynchronous Mean,Alternative N,Alternative Mean,Contrast N,Contrast Mean,Restatement N,Restatement Mean,Synchrony N,Synchrony Mean,List N,List Mean,Instantiation N,Instantiation Mean,Pragmatic_condition N,Pragmatic_condition Mean,Exception N,Exception Mean,Pragmatic_contrast N,Pragmatic_contrast Mean,Pragmatic_concession N,Pragmatic_concession Mean,Pragmatic_cause N,Pragmatic_cause Mean,total lines
W_THA_SMK0_297_B1_1.txt.pipe,Smoking,THA,B1_1,2,0.5,2,0.5,0,0,0,0,4,1,0,0,0,0,1,0.25,1,0.25,0,0,1,0.25,0,0,0,0,0,0,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
W_THA_PTJ0_062_B1_1.txt.pipe,Jobs,THA,B1_1,3,0.19,6,0.38,3,0.19,4,0.25,16,1,0,0,2,0.12,3,0.19,3,0.19,0,0,1,0.06,0,0,3,0.19,0,0,2,0.12,1,0.06,1,0.06,0,0,0,0,0,0,0,0,0,0,16
W_THA_PTJ0_290_B1_1.txt.pipe,Jobs,THA,B1_1,0,0,6,0.75,1,0.12,1,0.12,8,1,0,0,0,0,1,0.12,5,0.62,0,0,0,0,0,0,1,0.12,0,0,0,0,0,0,1,0.12,0,0,0,0,0,0,0,0,0,0,8
W_THA_PTJ0_117_B1_1.txt.pipe,Jobs,THA,B1_1,2,0.22,3,0.33,2,0.22,2,0.22,9,1,0,0,2,0.22,1,0.11,2,0.22,0,0,1,0.11,0,0,2,0.22,0,0,1,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
W_THA_SMK0_271_B1_1.txt.pipe,Smoking,THA,B1_1,2,0.33,2,0.33,0,0,2,0.33,6,1,0,0,2,0.33,1,0.17,1,0.17,0,0,0,0,0,0,0,0,0,0,2,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
W_THA_SMK0_292_B1_1.txt.pipe,Smoking,THA,B1_1,3,0.6,0,0,0,0,2,0.4,5,1,0,0,2,0.4,0,0,0,0,0,0,2,0.4,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
W_THA_SMK0_182_B1_1.txt.pipe,Smoking,THA,B1_1,2,0.25,2,0.25,2,0.25,2,0.25,8,1,0,0,2,0.25,0,0,2,0.25,0,0,0,0,0,0,2,0.25,0,0,2,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
W_THA_SMK0_320_B1_1.txt.pipe,Smoking,THA,B1_1,0,0,6,0.67,2,0.22,1,0.11,9,1,0,0,0,0,2,0.22,4,0.44,0,0,0,0,0,0,2,0.22,0,0,0,0,0,0,1,0.11,0,0,0,0,0,0,0,0,0,0,9
W_THA_PTJ0_319_B1_1.txt.pipe,Jobs,THA,B1_1,2,0.33,2,0.33,0,0,2,0.33,6,1,0,0,1,0.17,2,0.33,0,0,0,0,1,0.17,0,0,0,0,1,0.17,1,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
W_THA_SMK0_231_B1_1.txt.pipe,Smoking,THA,B1_1,0,0,4,0.57,3,0.43,0,0,7,1,0,0,0,0,2,0.29,2,0.29,0,0,0,0,0,0,3,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
W_THA_SMK0_339_B1_1.txt.pipe,Smoking,THA,B1_1,1,0.1,1,0.1,3,0.3,5,0.5,10,1,0,0,3,0.3,0,0,1,0.1,1,0.1,0,0,2,0.2,2,0.2,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
W_THA_SMK0_273_B1_1.txt.pipe,Smoking,THA,B1_1,2,0.15,4,0.31,2,0.15,5,0.38,13,1,0,0,5,0.38,2,0.15,2,0.15,0,0,1,0.08,0,0,2,0.15,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
W_THA_SMK0_045_B1_1.txt.pipe,Smoking,THA,B1_1,1,0.08,6,0.46,2,0.15,4,0.31,13,1,0,0,4,0.31,2,0.15,4,0.31,0,0,1,0.08,0,0,2,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
W_THA_SMK0_076_B1_1.txt.pipe,Smoking,THA,B1_1,0,0,7,0.64,1,0.09,3,0.27,11,1,0,0,3,0.27,1,0.09,6,0.55,0,0,0,0,0,0,1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
W_THA_PTJ0_028_B1_1.txt.pipe,Jobs,THA,B1_1,1,0.12,3,0.38,3,0.38,1,0.12,8,1,0,0,1,0.12,0,0,3,0.38,1,0.12,0,0,0,0,2,0.25,0,0,1,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
