file,Essay Type,Country,TOEFL,,Edited?,ID,Elaboration N,Elaboration %,Same-Unit N,Same-Unit %,Attribution N,Attribution %,Joint N,Joint %,Enablement N,Enablement %,Background N,Background %,Comparison N,Comparison %,Contrast N,Contrast %,Manner-Means N,Manner-Means %,Temporal N,Temporal %,Condition N,Condition %,Summary N,Summary %,Cause N,Cause %,Topic-Comment N,Topic-Comment %,Evaluation N,Evaluation %,Explanation N,Explanation %,Textual-Organization N,Textual-Organization %,Topic-Change N,Topic-Change %,total lines
105_AR_F_USA_NA_NA_10642_NAU.txt.json,Argumentative,USA,NA,C2,F,10642,130,0.57,16,0.07,16,0.07,32,0.14,3,0.01,1,0,2,0.01,12,0.05,0,0,5,0.02,2,0.01,0,0,2,0.01,0,0,1,0,5,0.02,0,0,0,0,227
106i_AR_1_TWN_1_M_11096_PRD.txt.json,Argumentative,TWN,93,B2,1,11096,95,0.7,3,0.02,10,0.07,12,0.09,2,0.01,2,0.01,1,0.01,6,0.04,0,0,2,0.01,1,0.01,0,0,1,0.01,0,0,0,0,0,0,0,0,0,0,135
106i_AR_1_CHN_1_M_10140_PRD.txt.json,Argumentative,CHN,99,B2,1,10140,44,0.57,0,0,3,0.04,16,0.21,1,0.01,0,0,0,0,5,0.06,0,0,0,0,1,0.01,0,0,0,0,0,0,0,0,7,0.09,0,0,0,0,77
106i_AR_F_NA_1_M_10659_PRD.txt.json,Argumentative,NA,101,B2,1,10659,132,0.7,18,0.1,8,0.04,20,0.11,1,0.01,4,0.02,0,0,2,0.01,0,0,1,0.01,1,0.01,0,0,0,0,0,0,0,0,2,0.01,0,0,0,0,189
105_AR_F_NAN_NA_NA_10563_NAU.txt.json,Argumentative,NAN,NA,A2,F,10563,350,0.74,31,0.07,29,0.06,38,0.08,5,0.01,2,0,3,0.01,2,0,0,0,0,0,3,0.01,2,0,2,0,0,0,0,0,8,0.02,0,0,0,0,475
106i_AR_F_CHN_1_F_10877_PRD.txt.json,Argumentative,CHN,94,B2,1,10877,91,0.57,12,0.08,14,0.09,20,0.13,5,0.03,2,0.01,0,0,1,0.01,0,0,0,0,8,0.05,0,0,2,0.01,0,0,0,0,4,0.03,0,0,0,0,159
106i_AR_1_CHN_1_F_10155_PRD.txt.json,Argumentative,CHN,84,B1_2,1,10155,123,0.6,18,0.09,10,0.05,15,0.07,2,0.01,3,0.01,4,0.02,5,0.02,0,0,2,0.01,9,0.04,0,0,2,0.01,0,0,1,0,10,0.05,0,0,0,0,204
106i_AR_F_CHN_1_M_10286_PRD.txt.json,Argumentative,CHN,84,B1_2,F,10286,84,0.63,15,0.11,7,0.05,8,0.06,2,0.02,1,0.01,2,0.02,6,0.05,0,0,1,0.01,3,0.02,0,0,2,0.02,0,0,1,0.01,1,0.01,0,0,0,0,133
106i_AR_F_CHN_1_M_10505_PRD.txt.json,Argumentative,CHN,101,B2,1,10505,116,0.63,8,0.04,18,0.1,6,0.03,5,0.03,12,0.07,0,0,4,0.02,0,0,3,0.02,3,0.02,0,0,1,0.01,0,0,0,0,7,0.04,0,0,0,0,183
106i_AR_F_CHN_1_M_10081_PRD.txt.json,Argumentative,CHN,93,B2,1,10081,120,0.48,38,0.15,23,0.09,15,0.06,3,0.01,7,0.03,1,0,6,0.02,0,0,4,0.02,4,0.02,2,0.01,5,0.02,0,0,0,0,21,0.08,0,0,0,0,249
106i_AR_F_CHN_1_F_10118_PRD.txt.json,Argumentative,CHN,87,B1_2,1,10118,74,0.61,6,0.05,11,0.09,5,0.04,5,0.04,4,0.03,0,0,5,0.04,0,0,0,0,5,0.04,0,0,3,0.02,0,0,0,0,4,0.03,0,0,0,0,122
106i_AR_1_TUR_1_M_10396_PRD.txt.json,Argumentative,TUR,107,B2,1,10396,149,0.74,4,0.02,3,0.01,24,0.12,2,0.01,2,0.01,0,0,4,0.02,0,0,0,0,0,0,0,0,3,0.01,0,0,0,0,10,0.05,0,0,0,0,201
