file,Essay Type,Country,Level,Temporal N,Temporal %,Contingency N,Contingency %,Comparison N,Comparison %,Expansion N,Expansion %,total lines
106i_AR_1_VNM_1_F_10655_PRD.txt.pipe,Jobs,6i_,_F_1,3,0.14,4,0.19,4,0.19,10,0.48,21
106i_AR_1_IND_2_M_10375_PRD.txt.pipe,Jobs,6i_,_M_1,6,0.2,6,0.2,8,0.27,10,0.33,30
106i_AR_F_IDN_1_M_10376_PRD.txt.pipe,Jobs,6i_,_M_1,4,0.12,14,0.44,5,0.16,9,0.28,32
106i_AR_1_CHN_1_F_10111_PRD.txt.pipe,Jobs,6i_,_F_1,5,0.14,13,0.37,6,0.17,11,0.31,35
106i_AR_1_KOR_1_F_11071_PRD.txt.pipe,Jobs,6i_,_F_1,5,0.24,8,0.38,0,0.0,8,0.38,21
106i_AR_F_CHN_1_M_10150_PRD.txt.pipe,Jobs,6i_,_M_1,6,0.18,7,0.21,8,0.24,12,0.36,33
106i_AR_F_CHN_1_F_10489_PRD.txt.pipe,Jobs,6i_,_F_1,0,0.0,8,0.38,4,0.19,9,0.43,21
106i_AR_F_KOR_1_M_10633_PRD.txt.pipe,Jobs,6i_,_M_1,0,0.0,3,0.43,2,0.29,2,0.29,7
106i_AR_F_CHN_3_M_10955_PRD.txt.pipe,Jobs,6i_,_M_1,2,0.1,3,0.14,7,0.33,9,0.43,21
106i_AR_1_KOR_2_M_10390_PRD.txt.pipe,Jobs,6i_,_M_1,5,0.29,9,0.53,1,0.06,2,0.12,17
106i_AR_F_CHN_1_F_10682_PRD.txt.pipe,Jobs,6i_,_F_1,7,0.37,3,0.16,3,0.16,6,0.32,19
106i_AR_1_CHN_1_F_10705_PRD.txt.pipe,Jobs,6i_,_F_1,4,0.15,9,0.35,0,0.0,13,0.5,26
106i_AR_1_CHN_1_M_10113_PRD.txt.pipe,Jobs,6i_,_M_1,5,0.14,14,0.4,9,0.26,7,0.2,35
105_AR_F_USA_NA_NA_10647_NAU.txt.pipe,Jobs,5_A,_NA_,0,0.0,4,0.57,3,0.43,0,0.0,7
106i_AR_F_NA_1_M_10656_PRD.txt.pipe,Jobs,6i_,M_10,3,0.07,12,0.27,6,0.13,24,0.53,45
106i_AR_1_IND_1_M_10602_PRD.txt.pipe,Jobs,6i_,_M_1,3,0.11,11,0.39,6,0.21,8,0.29,28
106i_AR_F_CHN_1_M_10862_PRD.txt.pipe,Jobs,6i_,_M_1,8,0.24,6,0.18,6,0.18,14,0.41,34
106i_AR_1_CHN_1_F_10924_PRD.txt.pipe,Jobs,6i_,_F_1,2,0.08,5,0.2,6,0.24,12,0.48,25
106i_AR_1_CHN_1_F_10163_PRD.txt.pipe,Jobs,6i_,_F_1,12,0.41,8,0.28,3,0.1,6,0.21,29
106i_AR_F_SDA_1_M_10076_PRD.txt.pipe,Jobs,6i_,_M_1,7,0.15,12,0.26,10,0.22,17,0.37,46
106i_AR_F_CHN_1_M_10506_PRD.txt.pipe,Jobs,6i_,_M_1,2,0.1,4,0.2,6,0.3,8,0.4,20
106i_AR_F_CHN_1_M_10329_PRD.txt.pipe,Jobs,6i_,_M_1,3,0.1,17,0.55,7,0.23,4,0.13,31
106i_AR_1_CHN_1_F_10047_PRD.txt.pipe,Jobs,6i_,_F_1,3,0.5,0,0.0,2,0.33,1,0.17,6
106i_AR_1_CHN_3_F_10952_PRD.txt.pipe,Jobs,6i_,_F_1,3,0.07,11,0.28,15,0.38,11,0.28,40
106i_AR_1_CHN_1_M_10079_PRD.txt.pipe,Jobs,6i_,_M_1,0,0.0,3,0.38,4,0.5,1,0.12,8
106i_AR_F_CHN_1_M_10132_PRD.txt.pipe,Jobs,6i_,_M_1,9,0.47,0,0.0,6,0.32,4,0.21,19
106i_AR_F_CHN_1_F_11119_PRD.txt.pipe,Jobs,6i_,_F_1,9,0.24,4,0.11,8,0.22,16,0.43,37
106i_AR_F_IND_2_M_11041_PRD.txt.pipe,Jobs,6i_,_M_1,8,0.2,6,0.15,11,0.27,16,0.39,41
106i_AR_1_CHN_1_M_10029_PRD.txt.pipe,Jobs,6i_,_M_1,7,0.29,7,0.29,4,0.17,6,0.25,24
106i_AR_F_CHN_1_F_10214_PRD.txt.pipe,Jobs,6i_,_F_1,3,0.1,11,0.38,7,0.24,8,0.28,29
106i_AR_1_CHN_1_M_10016_PRD.txt.pipe,Jobs,6i_,_M_1,4,0.15,9,0.35,2,0.08,11,0.42,26
106i_AR_1_CHN_1_M_10298_PRD.txt.pipe,Jobs,6i_,_M_1,1,0.06,4,0.24,6,0.35,6,0.35,17
106i_AR_1_CHN_1_F_10226_PRD.txt.pipe,Jobs,6i_,_F_1,4,0.15,7,0.27,5,0.19,10,0.38,26
106i_AR_1_CHN_1_F_10220_PRD.txt.pipe,Jobs,6i_,_F_1,0,0.0,8,0.44,4,0.22,6,0.33,18
105_AR_F_USA_NA_NA_10629_NAU.txt.pipe,Jobs,5_A,_NA_,8,0.19,12,0.29,10,0.24,12,0.29,42
106i_AR_1_CHN_1_F_10840_PRD.txt.pipe,Jobs,6i_,_F_1,6,0.24,7,0.28,4,0.16,8,0.32,25
106i_AR_F_CHN_1_M_10879_PRD.txt.pipe,Jobs,6i_,_M_1,6,0.27,4,0.18,5,0.23,7,0.32,22
106i_AR_F_CHN_4_M_10357_PRD.txt.pipe,Jobs,6i_,_M_1,7,0.3,3,0.13,7,0.3,6,0.26,23
105_AR_F_USA_NA_NA_10725_NAU.txt.pipe,Jobs,5_A,_NA_,11,0.15,13,0.18,19,0.27,28,0.39,71
106i_AR_1_MYS_1_M_10399_PRD.txt.pipe,Jobs,6i_,_M_1,7,0.27,2,0.08,8,0.31,9,0.35,26
106i_AR_1_CHN_1_M_10140_PRD.txt.pipe,Jobs,6i_,_M_1,2,0.17,1,0.08,2,0.17,7,0.58,12
106i_AR_1_MYS_2_M_10383_PRD.txt.pipe,Jobs,6i_,_M_1,8,0.25,7,0.22,2,0.06,15,0.47,32
106i_AR_F_CHN_1_F_10220_PRD.txt.pipe,Jobs,6i_,_F_1,0,0.0,11,0.46,5,0.21,8,0.33,24
106i_AR_1_CHN_1_F_10196_PRD.txt.pipe,Jobs,6i_,_F_1,6,0.32,5,0.26,4,0.21,4,0.21,19
106i_AR_1_CHN_1_F_10492_PRD.txt.pipe,Jobs,6i_,_F_1,11,0.35,2,0.06,7,0.23,11,0.35,31
106i_AR_1_CHN_1_M_10326_PRD.txt.pipe,Jobs,6i_,_M_1,3,0.12,6,0.24,5,0.2,11,0.44,25
106i_AR_F_CHN_1_M_10328_PRD.txt.pipe,Jobs,6i_,_M_1,5,0.24,2,0.1,4,0.19,10,0.48,21
106i_AR_F_CHN_1_M_10139_PRD.txt.pipe,Jobs,6i_,_M_1,5,0.25,6,0.3,4,0.2,5,0.25,20
