file,Essay Type,Country,Level,Elaboration N,Elaboration %,Same-Unit N,Same-Unit %,Attribution N,Attribution %,Joint N,Joint %,Enablement N,Enablement %,Background N,Background %,Comparison N,Comparison %,Contrast N,Contrast %,Manner-Means N,Manner-Means %,Temporal N,Temporal %,Condition N,Condition %,Summary N,Summary %,Cause N,Cause %,Topic-Comment N,Topic-Comment %,Evaluation N,Evaluation %,Explanation N,Explanation %,Textual-Organization N,Textual-Organization %,Topic-Change N,Topic-Change %,Comparison N,Comparison %,total lines
W_JPN_SMK0_328_B1_1.txt.json.edus.parse,Smoking,JPN,B1_1,7,0.18,7,0.18,7,0.18,1,0.03,4,0.1,1,0.03,0,0.0,2,0.05,0,0.0,0,0.0,7,0.18,0,0.0,3,0.08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,39
W_THA_SMK0_187_A2_0.txt.json.edus.parse,Smoking,THA,A2_0,8,0.24,5,0.15,4,0.12,2,0.06,2,0.06,0,0.0,0,0.0,4,0.12,0,0.0,1,0.03,5,0.15,0,0.0,1,0.03,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,33
W_PAK_PTJ0_098_B1_1.txt.json.edus.parse,Jobs,PAK,B1_1,10,0.37,4,0.15,2,0.07,4,0.15,4,0.15,0,0.0,0,0.0,1,0.04,0,0.0,0,0.0,1,0.04,0,0.0,1,0.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27
W_PAK_SMK0_064_B1_2.txt.json.edus.parse,Smoking,PAK,B1_2,9,0.32,5,0.18,6,0.21,4,0.14,2,0.07,1,0.04,0,0.0,1,0.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28
W_CHN_SMK0_030_B1_2.txt.json.edus.parse,Smoking,CHN,B1_2,8,0.33,2,0.08,2,0.08,4,0.17,3,0.12,2,0.08,0,0.0,1,0.04,1,0.04,1,0.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24
W_JPN_SMK0_340_A2_0.txt.json.edus.parse,Smoking,JPN,A2_0,14,0.4,7,0.2,3,0.09,3,0.09,5,0.14,0,0.0,0,0.0,3,0.09,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,35
W_HKG_PTJ0_039_B1_2.txt.json.edus.parse,Jobs,HKG,B1_2,8,0.22,9,0.25,7,0.19,3,0.08,5,0.14,0,0.0,1,0.03,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,1,0.03,36
W_IDN_SMK0_076_B1_2.txt.json.edus.parse,Smoking,IDN,B1_2,7,0.26,9,0.33,3,0.11,1,0.04,0,0.0,2,0.07,0,0.0,3,0.11,0,0.0,0,0.0,1,0.04,0,0.0,0,0.0,0,0.0,0,0.0,1,0.04,0,0.0,0,0.0,0,0.0,27
W_CHN_PTJ0_238_B1_1.txt.json.edus.parse,Jobs,CHN,B1_1,7,0.23,4,0.13,8,0.26,5,0.16,3,0.1,1,0.03,0,0.0,3,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,31
W_CHN_PTJ0_031_B1_1.txt.json.edus.parse,Jobs,CHN,B1_1,15,0.54,3,0.11,1,0.04,2,0.07,1,0.04,0,0.0,0,0.0,1,0.04,2,0.07,1,0.04,1,0.04,0,0.0,0,0.0,0,0.0,0,0.0,1,0.04,0,0.0,0,0.0,0,0.0,28
